Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-495.5,0.0,495,0,50.0,0.0
100,-183.6,0.4,48,227,31.3,0.9166393280029297
200,-299.6,0.3,245,94,35.4,131.58987426757812
300,-91.6,0.8,99,0,11.3,50.665706634521484
400,-79.7,0.7,0,141,16.9,69.98145294189453
500,-195.2,0.3,0,326,35.5,14.996674537658691
600,-229.0,0.4,147,141,30.6,151.3862762451172
700,-120.8,0.7,98,47,16.8,6.866313457489014
800,-266.8,0.2,98,281,40.3,0.7610489726066589
900,-21.0,0.9,0,47,7.4,25.438228607177734
1000,-107.8,0.6,0,186,21.4,1.8216397762298584
1100,-78.7,0.7,0,140,16.4,1.9135856628417969
1200,-108.5,0.6,0,186,22.1,0.0
1300,-50.1,0.8,0,94,11.9,0.11683162301778793
1400,-19.7,0.9,0,46,6.6,0.00014752522110939026
1500,-49.6,0.8,0,92,12.4,0.7252171635627747
1600,-19.9,0.9,0,46,6.8,0.18716897070407867
1700,-49.9,0.8,0,94,11.7,0.08135978132486343
1800,-20.6,0.9,0,46,7.5,11.92375659942627
1900,8.1,1.0,0,0,2.9,13.418745040893555
2000,8.4,1.0,0,0,2.6,61.27888488769531
2100,8.7,1.0,0,0,2.3,13.335769653320312
2200,-107.8,0.6,0,186,21.4,3.963714838027954
2300,8.0,1.0,0,0,3.0,0.1185862272977829
2400,8.3,1.0,0,0,2.7,0.41127052903175354
2500,8.8,1.0,0,0,2.2,5.135472774505615
2600,8.4,1.0,0,0,2.6,0.35734114050865173
2700,8.0,1.0,0,0,3.0,14.1306734085083
2800,8.3,1.0,0,0,2.7,0.8602257370948792
2900,8.7,1.0,0,0,2.3,0.04188207909464836
3000,9.0,1.0,0,0,2.0,78.55322265625
3100,8.3,1.0,0,0,2.7,15.347291946411133
3200,8.6,1.0,0,0,2.4,3.8261168003082275
3300,-20.2,0.9,0,47,6.6,4.659726142883301
3400,9.0,1.0,0,0,2.0,36.184165954589844
3500,7.8,1.0,0,0,3.2,3.612013816833496
3600,8.9,1.0,0,0,2.1,0.6334611773490906
3700,-21.0,0.9,0,47,7.4,26.814937591552734
3800,-20.8,0.9,0,47,7.2,48.621334075927734
3900,9.1,1.0,0,0,1.9,25.492942810058594
4000,9.4,1.0,0,0,1.6,2.396815776824951
4100,8.6,1.0,0,0,2.4,0.7244985699653625
4200,-49.9,0.8,0,94,11.7,0.002146643353626132
4300,8.9,1.0,0,0,2.1,2.064202308654785
4400,-20.4,0.9,0,47,6.8,0.5512397885322571
4500,-20.3,0.9,0,47,6.7,1.0144590139389038
4600,-20.9,0.9,0,47,7.3,0.26308634877204895
4700,8.7,1.0,0,0,2.3,36.2104606628418
4800,8.8,1.0,0,0,2.2,2.7074480056762695
4900,9.3,1.0,0,0,1.7,0.0
5000,8.9,1.0,0,0,2.1,1.7798470258712769
