Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-429.2,0.1,428,0,45.1,0.0
100,-282.9,0.3,200,141,35.7,0.4149833917617798
200,-251.1,0.4,198,93,30.8,55.30454635620117
300,-99.8,0.7,49,94,16.4,66.36206817626953
400,-402.4,0.1,346,94,45.1,11.244712829589844
500,8.8,1.0,0,0,2.2,3.0997092723846436
600,-151.6,0.6,100,94,21.2,33.58757019042969
700,-210.6,0.4,100,188,31.0,0.8353716731071472
800,-196.8,0.3,0,329,35.6,3.3272695541381836
900,-49.7,0.8,0,94,11.5,0.0
1000,-108.9,0.6,0,188,21.5,8.049991607666016
1100,-78.5,0.7,0,140,16.2,0.4233665466308594
1200,-79.4,0.7,0,141,16.6,32.56205749511719
1300,-76.8,0.7,0,135,17.0,0.0008391367737203836
1400,8.2,1.0,0,0,2.8,18.582014083862305
1500,-49.7,0.8,0,93,12.0,0.0
1600,8.2,1.0,0,0,2.8,1.2519079446792603
1700,-20.8,0.9,0,47,7.2,1.935025691986084
1800,8.6,1.0,0,0,2.4,43.89984893798828
1900,-21.0,0.9,0,47,7.4,0.0037095400039106607
2000,-20.8,0.9,0,47,7.2,1.470476746559143
2100,8.5,1.0,0,0,2.5,1.6421416997909546
2200,-50.1,0.8,0,94,11.9,29.43947982788086
2300,9.0,1.0,0,0,2.0,1.1085212230682373
2400,-20.5,0.9,0,47,6.9,4.623626232147217
2500,8.5,1.0,0,0,2.5,0.26215386390686035
2600,-50.5,0.8,0,94,12.3,6.225714683532715
2700,-20.4,0.9,0,47,6.8,0.026412399485707283
2800,8.3,1.0,0,0,2.7,0.8086021542549133
2900,-22.6,0.9,0,47,9.0,1.480116605758667
3000,-20.8,0.9,0,47,7.2,3.295781373977661
3100,8.7,1.0,0,0,2.3,2.060147285461426
3200,8.8,1.0,0,0,2.2,0.03680310770869255
3300,9.2,1.0,0,0,1.8,0.0025872173719108105
3400,-20.6,0.9,0,47,7.0,19.443031311035156
