Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-292.8,0.4,295,0,31.7,0.0
100,-390.1,0.2,391,0,40.4,44.1751823425293
200,-153.0,0.6,108,80,22.4,0.0
300,-41.7,0.8,41,0,13.6,3.139288902282715
400,-30.2,0.9,9,46,9.0,0.7491917610168457
500,-17.1,0.9,20,0,9.0,85.98121643066406
600,-38.6,0.6,6,36,21.8,3.9863169193267822
700,-25.0,0.9,4,47,7.8,0.0
800,-27.9,0.6,1,24,21.6,0.0
900,-12.6,0.8,0,17,12.9,2.8213918209075928
1000,7.5,1.0,0,0,3.5,12.098197937011719
1100,6.8,1.0,1,0,3.3,24.8270263671875
1200,-4.8,0.8,0,0,13.6,8.70317268371582
1300,-2.7,0.9,2,0,10.8,0.0
1400,7.4,1.0,0,0,3.6,6.987725734710693
0,-18.7,0.8,6,18,13.1,0.0
1500,-29.9,0.9,8,46,9.6,15.31274127960205
1600,-104.9,0.6,38,111,21.8,50.30539321899414
1700,-93.7,0.6,12,134,22.5,43.934242248535156
1800,-6.8,0.8,3,0,12.9,38.31895065307617
1900,-30.2,0.6,16,0,22.4,0.030432775616645813
2000,-2.7,1.0,10,0,4.7,0.0
2100,-120.7,0.6,35,146,22.8,10.358951568603516
2200,-5.1,0.8,0,0,13.9,1.15845787525177
2300,4.3,1.0,2,0,4.9,2.4580941200256348
2400,-34.4,0.6,17,7,22.2,1.2112033367156982
2500,-54.6,0.7,28,37,18.6,0.05713938921689987
2600,-9.5,0.7,0,1,16.7,108.70723724365234
2700,-39.2,0.6,1,47,21.4,19.952308654785156
2800,-21.3,0.5,0,1,26.3,0.4634515941143036
2900,-5.4,0.8,1,2,12.3,6.9670844078063965
3000,-9.9,0.7,0,2,16.6,6.885919570922852
3100,-10.2,0.7,1,0,17.0,0.0
3200,-27.1,0.7,20,0,16.8,44.25469970703125
3300,-21.7,0.9,0,48,7.6,2.5996925830841064
3400,8.1,1.0,0,0,2.9,2.0962812900543213
3500,7.0,1.0,0,0,4.0,0.3202674686908722
3600,-30.4,0.8,10,37,11.7,0.19519998133182526
3700,1.6,0.9,0,0,8.3,39.73204040527344
3800,-6.6,0.9,9,0,8.4,19.51626968383789
3900,-62.7,0.7,17,77,16.6,15.057842254638672
4000,6.3,1.0,0,2,3.7,15.63658618927002
4100,2.8,0.9,0,0,7.1,2.9876904487609863
4200,2.4,0.9,0,0,7.5,3.222442865371704
4300,7.7,1.0,0,0,3.3,5.7214789390563965
4400,-15.5,0.6,0,1,21.6,0.0
4500,-12.9,0.8,10,0,12.7,0.0
4600,2.4,0.9,0,0,7.5,7.615106105804443
4700,-56.2,0.7,0,94,16.9,156.40138244628906
4800,-10.2,0.8,7,1,12.2,15.564873695373535
4900,-22.6,0.7,7,15,16.5,0.012138559482991695
5000,-35.0,0.8,0,64,11.8,0.7566210627555847
5100,-37.2,0.8,10,48,13.0,14.004260063171387
5200,-33.0,0.8,10,41,12.3,0.04347976669669151
5300,-6.1,0.9,9,0,7.9,37.14484405517578
5400,-12.8,0.8,10,1,12.1,20.290687561035156
5500,7.8,1.0,0,0,3.2,0.1210731714963913
5600,-16.7,0.7,0,16,16.4,18.242218017578125
5700,-23.3,0.7,16,0,16.6,6.974983215332031
5800,-6.8,0.9,0,16,8.7,0.3517444431781769
5900,-26.8,0.8,17,16,12.3,4.060347557067871
6000,-19.0,0.7,10,1,17.2,5.927462100982666
6100,-40.0,0.7,0,61,17.2,6.891671657562256
6200,-19.8,0.9,0,45,7.2,8.368300437927246
6300,-53.0,0.7,16,59,16.8,39.178524017333984
6400,-4.7,0.9,6,2,8.2,128.12168884277344
6500,-28.7,0.7,21,0,17.5,32.83806610107422
6600,-9.3,0.8,4,5,12.0,0.045195817947387695
6700,1.4,0.9,0,0,8.5,0.32005059719085693
6800,-11.3,0.8,0,16,12.1,188.86480712890625
6900,-8.9,0.7,0,0,16.6,2.131222724914551
7000,-3.8,0.9,0,12,7.7,12.597599983215332
7100,-9.5,0.7,0,0,17.2,29.35820960998535
7200,-15.2,0.7,6,1,17.0,40.26246643066406
7300,-9.6,0.7,0,0,17.3,35.54942321777344
7400,-9.0,0.8,4,4,12.2,3.6530776023864746
7500,7.3,1.0,0,0,3.7,0.031657345592975616
7600,2.2,0.9,0,0,7.7,0.5851802825927734
7700,-1.5,0.9,0,6,8.4,30.99602699279785
7800,-21.9,0.9,0,47,8.3,27.852783203125
7900,6.5,1.0,0,1,4.0,3.1592729091644287
8000,-3.2,0.8,0,0,12.0,2.1963815689086914
8100,-5.4,0.9,9,0,7.2,8.04554557800293
8200,-5.1,0.8,0,1,13.4,0.06328661739826202
8300,7.5,1.0,0,1,3.0,15.784043312072754
8400,7.9,1.0,0,0,3.1,1.5424938201904297
8500,-2.9,0.8,0,0,11.7,2.034623384475708
8600,1.3,0.9,0,1,8.1,0.7622383236885071
8700,-1.0,0.9,1,1,9.5,0.17908422648906708
8800,-1.5,0.9,0,2,10.4,0.20761656761169434
8900,-11.6,0.7,2,0,17.5,44.346370697021484
9000,7.2,1.0,0,0,3.8,4.812745571136475
9100,8.0,1.0,0,0,3.0,0.033531978726387024
9200,-13.5,0.7,5,0,16.7,18.5432186126709
9300,-20.3,0.9,0,43,8.7,0.022742435336112976
9400,-9.7,0.8,6,0,13.1,15.699322700500488
9500,1.3,0.9,1,0,7.7,0.0014089263277128339
9600,-4.2,0.8,0,0,13.0,48.49739074707031
9700,-3.7,0.8,0,0,12.5,0.03317363187670708
9800,-3.7,0.8,0,0,12.5,0.06372955441474915
9900,0.6,0.9,0,1,8.8,10.503976821899414
10000,1.2,0.9,0,0,8.7,0.004095070529729128
10100,7.9,1.0,0,0,3.1,0.7100247740745544
10200,-3.8,0.8,0,1,12.1,15.15317440032959
10300,5.5,1.0,1,1,4.1,6.63017463684082
10400,-2.8,0.9,0,8,8.7,0.2163276970386505
10500,1.4,0.9,0,0,8.5,141.5455322265625
10600,-20.9,0.7,10,2,18.6,0.6609100103378296
10700,-3.6,0.9,0,10,8.5,3.2750072479248047
10800,1.6,0.9,0,1,7.8,0.020890066400170326
10900,8.4,1.0,0,0,2.6,12.907549858093262
11000,-4.3,0.8,0,0,13.1,0.0
11100,2.1,0.9,0,0,7.8,2.938622236251831
11200,-3.8,0.8,0,0,12.6,3.0879337787628174
11300,-9.3,0.7,0,0,17.0,14.967408180236816
11400,-3.7,0.8,0,0,12.5,0.9025123119354248
0,8.2,1.0,0,0,2.8,0.0
11500,1.5,0.9,0,0,8.4,0.19040599465370178
11600,1.8,0.9,0,0,8.1,12.729809761047363
11700,5.8,1.0,0,1,4.2,5.064598560333252
11800,5.0,1.0,0,1,5.0,63.34325408935547
11900,-5.3,0.8,0,1,13.1,0.44166576862335205
12000,1.9,0.9,0,0,8.0,0.03713463246822357
12100,-3.9,0.8,0,0,12.7,0.12504883110523224
12200,7.3,1.0,0,1,2.7,101.20211029052734
12300,7.4,1.0,0,0,3.6,8.63625431060791
12400,7.8,1.0,0,0,3.2,3.0967514514923096
