Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-267.6,0.3,163,176,36.2,0.0
100,-236.0,0.5,239,0,26.4,0.5147039890289307
200,-156.4,0.5,54,174,26.3,5.104760646820068
300,-97.3,0.7,74,38,19.4,10.082098007202148
400,-4.7,1.0,7,4,7.4,1.2198609113693237
500,-84.8,0.7,10,133,17.0,37.60096740722656
600,-0.4,1.0,8,0,4.2,0.1523182988166809
700,-103.6,0.3,29,90,35.8,23.482595443725586
800,3.0,0.9,0,0,6.9,10.559576034545898
900,-2.6,0.8,0,0,11.4,0.12575481832027435
1000,6.2,1.0,0,1,4.3,25.808448791503906
1100,2.9,0.9,0,0,7.0,0.0
1200,6.6,1.0,0,0,4.4,17.731210708618164
1300,-8.8,0.7,0,0,16.5,0.9371597170829773
1400,8.4,1.0,0,0,2.6,0.0
1500,1.3,0.9,0,0,8.6,1.178289532661438
1600,-14.8,0.6,0,0,21.4,3.9053311347961426
1700,-9.1,0.7,0,0,16.8,4.046354293823242
1800,7.6,1.0,0,0,3.4,0.4827161729335785
0,-127.9,0.6,49,138,21.4,0.0
1900,-161.5,0.1,18,202,45.4,27.899782180786133
2000,-113.6,0.7,108,13,17.6,5.777530193328857
2100,-178.4,0.4,76,166,31.4,2.6126773357391357
2200,-71.2,0.5,29,48,26.6,0.02234109491109848
2300,-43.9,0.8,18,46,13.5,0.05205868184566498
2400,-61.9,0.5,11,62,26.5,5.287500858306885
2500,-3.7,0.9,7,0,7.3,50.39735794067383
2600,-64.1,0.6,1,94,22.8,2.9920239448547363
2700,-11.7,0.8,1,13,13.1,2.119873046875
2800,-4.5,0.8,0,1,12.8,1.966107964515686
2900,7.1,1.0,1,0,3.0,2.169476270675659
3000,-20.9,0.9,0,47,7.3,2.860248565673828
3100,-11.9,0.8,9,0,12.6,2.0239040851593018
3200,-7.2,0.8,0,7,12.5,0.035119783133268356
3300,-12.1,0.7,0,4,17.8,92.4212646484375
3400,-43.7,0.5,0,45,26.7,29.313249588012695
3500,-10.3,0.7,0,1,17.5,3.6877920627593994
3600,-58.9,0.5,0,75,26.9,8.048070907592773
3700,-44.9,0.5,1,45,27.0,40.10813522338867
3800,-35.6,0.6,0,41,21.7,0.0
3900,1.2,0.9,0,0,8.7,79.3879623413086
4000,-24.4,0.7,0,29,17.6,4.494804670684971e-05
4100,-17.1,0.7,0,16,16.8,8.149650573730469
4200,7.9,1.0,0,0,3.1,16.045839309692383
4300,-40.3,0.7,8,46,17.8,1.3288633823394775
4400,-31.6,0.7,7,31,17.5,16.20362091064453
