run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1400,1900,22400,2.379,0.912,16,2,7.489
2,2900,3400,25400,0.348,0.874,5,3,9.191
