run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1900,2900,12200,13000,2.823,0.922,7,10,7.116
2,1500,2900,16800,17600,2.283,0.921,2,49,7.144
