run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1500,2500,23700,24200,2.36,0.906,0,1,7.592
2,2400,3400,10100,24200,-0.715,0.868,77,4,9.514
