run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1900,2700,11900,-2.471,0.827,34,0,11.262
2,1500,2100,20800,2.012,0.907,20,8,7.673
