run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1100,1600,17300,2.81,0.922,9,2,7.223
2,1300,3300,18200,-0.605,0.857,1,4,9.967
