run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2300,2800,17300,29100,-0.822,0.893,7,231,8.272
2,1600,2900,19700,23800,1.411,0.895,17,4,8.241
