run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1500,2200,13700,-2.149,0.873,43,142,9.377
2,2000,2700,16400,0.812,0.885,11,7,8.726
