run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2300,2900,24500,26700,1.651,0.899,0,18,8.058
2,2400,3000,21800,40000,-1.131,0.844,1,0,10.406
