run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1600,2300,35400,0.749,0.895,72,8,8.368
2,1800,2600,18200,-2.994,0.81,0,3,11.874
