run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2000,2800,16300,17500,-0.047,0.866,5,1,9.514
2,1800,3500,12200,13900,-0.292,0.863,4,9,9.623
