run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2000,2800,19900,21300,-0.548,0.855,2,2,9.907
2,1600,2900,25100,25900,1.285,0.914,5,94,7.408
