run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2200,2800,20900,31600,0.916,0.888,0,39,8.462
2,1300,2000,15900,20900,0.49,0.909,7,163,7.816
