run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2300,2800,23200,33000,2.29,0.918,39,10,7.317
2,1800,2300,15500,16000,1.462,0.917,87,47,7.184
