run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2100,2600,16500,0.861,0.883,0,2,8.832
2,2400,3300,19800,1.441,0.895,14,6,8.218
