run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2000,2500,22700,24700,5.057,0.96,0,4,5.447
2,1300,2200,14000,26500,1.092,0.91,0,94,7.602
