run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2400,3500,17600,18800,-3.58,0.802,19,3,12.201
2,2400,3600,21000,21900,1.485,0.903,0,47,7.978
