run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1600,2400,28400,1.21,0.894,0,16,8.464
2,1600,2100,36600,1.92,0.9,0,2,7.96
