run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1600,2700,13400,16500,0.989,0.886,0,6,8.673
2,1900,2400,22600,24600,-2.586,0.827,0,34,11.207
