run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1800,2800,25700,32900,-1.007,0.872,149,7,9.188
2,1700,2300,33800,35100,-0.496,0.857,0,0,9.923
