run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1400,2400,19500,22000,3.127,0.931,33,5,6.747
2,1800,2500,16800,17300,1.973,0.903,0,5,7.89
