run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2200,2700,29200,3.685,0.932,2,0,6.549
2,1700,2700,18100,-0.728,0.853,1,3,10.06
