run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2300,3500,21300,22200,1.193,0.887,1,0,8.555
2,1700,2900,24300,32700,1.85,0.927,5,103,6.86
