Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-433.7,0.1,433,0,45.1,0.0
100,-233.6,0.5,236,0,26.7,1.575107216835022
200,-166.9,0.5,112,113,26.4,0.15209096670150757
300,-309.5,0.0,147,318,50.0,228.59637451171875
400,-65.1,0.5,49,0,26.5,393.814697265625
500,-25.8,0.6,12,0,21.6,172.83523559570312
600,3.3,1.0,4,0,4.1,318.91339111328125
700,-39.6,0.6,13,32,21.7,11.0496187210083
800,-3.0,0.9,5,0,8.4,12.70366382598877
900,-26.9,0.7,5,32,17.3,0.0
1000,-18.2,0.8,3,30,12.3,1.6321218013763428
1100,7.3,1.0,1,0,2.8,3.3780133724212646
1200,5.5,1.0,2,0,3.7,0.0
1300,7.2,1.0,0,0,3.8,72.13459777832031
1400,7.9,1.0,0,0,3.1,0.37722888588905334
1500,6.8,1.0,0,0,4.2,6.436858654022217
1600,7.9,1.0,0,0,3.1,25.900596618652344
1700,7.3,1.0,0,0,3.7,3.8387763500213623
0,7.8,1.0,1,0,2.3,0.0
1800,-47.9,0.8,0,32,11.9,0.02536671981215477
1900,8.0,1.0,0,0,3.0,0.42983394861221313
2000,7.8,1.0,0,0,3.2,1.1227154731750488
2100,7.2,1.0,0,0,3.8,45.708518981933594
2200,7.5,1.0,0,0,3.5,3.992326498031616
2300,8.6,1.0,0,0,2.4,5.4319844245910645
0,-54.1,0.6,42,0,22.9,0.0
2400,-243.8,0.5,148,90,26.1,0.04167477414011955
2500,-104.7,0.7,105,1,16.9,96.7480697631836
2600,-115.3,0.7,84,29,18.4,0.0
2700,-2.6,0.9,4,0,8.9,0.13024944067001343
2800,-4.4,0.8,1,0,12.3,155.92953491210938
2900,-20.9,0.8,1,16,12.8,117.33657836914062
3000,-104.1,0.6,46,48,21.3,2113.7998046875
3100,4.9,1.0,2,1,3.3,0.005533365532755852
3200,-18.9,0.9,8,14,7.6,66.77193450927734
3300,-7.5,0.9,10,0,8.4,43.34131622314453
3400,-46.4,0.9,2,46,8.5,227.07614135742188
3500,-157.0,0.6,45,102,21.1,62.36452865600586
3600,-346.3,0.3,274,67,36.0,35.13011932373047
3700,-0.9,0.9,3,0,8.1,0.47623497247695923
3800,-66.7,0.8,30,35,13.5,17.13545799255371
3900,-116.7,0.6,11,92,21.4,9.257081985473633
4000,-77.2,0.7,29,40,18.8,0.0
4100,-56.7,0.7,1,47,16.5,8.016511917114258
4200,-20.1,0.8,18,0,12.7,3.967914342880249
4300,-6.0,0.9,8,0,8.7,66.27613830566406
4400,-20.1,0.8,19,0,11.8,28.990894317626953
4500,-79.9,0.7,26,47,17.2,44.688961029052734
4600,-58.4,0.7,21,30,17.2,14.169476509094238
4700,-3.5,0.8,0,0,12.3,0.7603602409362793
4800,-23.5,0.5,1,1,27.1,73.66822052001953
4900,-74.1,0.7,13,53,17.1,10.184075355529785
5000,-11.6,0.7,1,1,17.4,231.25193786621094
5100,-117.0,0.6,9,94,21.5,0.04747346416115761
5200,-45.3,0.9,1,47,7.3,0.3041967749595642
5300,5.8,1.0,1,1,3.3,37.83720779418945
5400,-15.5,0.8,13,0,12.6,29.92984390258789
5500,-63.9,0.7,19,37,17.5,12.797819137573242
5600,-4.9,0.8,1,1,11.8,10.034285545349121
5700,-23.7,0.6,8,1,22.1,188.6607666015625
5800,8.1,1.0,0,0,2.9,13.731971740722656
5900,-71.5,0.7,17,47,16.9,0.013791758567094803
6000,-85.6,0.6,26,47,21.8,18.654504776000977
6100,-15.4,0.6,0,0,22.0,0.41182389855384827
6200,1.1,0.9,1,0,7.9,35.45589065551758
6300,0.3,0.9,1,0,8.7,0.7549645304679871
6400,-18.4,0.8,0,15,12.2,0.6282248497009277
6500,-46.5,0.8,0,43,12.3,14.86544132232666
6600,8.0,1.0,0,0,3.0,7.945730209350586
6700,-13.5,0.7,1,1,19.3,18.916297912597656
6800,-19.5,0.7,10,0,18.2,68.52136993408203
6900,7.4,1.0,0,0,3.6,7.633908271789551
7000,4.8,1.0,0,1,5.2,9.268058776855469
7100,-3.7,0.8,0,0,12.5,247.851806640625
7200,-12.0,0.8,9,0,12.7,32.985313415527344
7300,8.3,1.0,0,0,2.7,37.860687255859375
7400,1.8,0.9,0,0,8.1,1.072601556777954
7500,1.3,0.9,1,0,7.7,2.1598830223083496
7600,-18.5,0.7,10,0,17.2,0.0
7700,6.5,1.0,0,0,4.5,1.0675204992294312
7800,7.8,1.0,0,0,3.2,5.635203838348389
7900,-200.6,0.6,10,177,21.2,4.031651973724365
8000,-90.1,0.8,27,63,11.6,1.1812547445297241
8100,-201.0,0.6,0,186,21.6,97.04655456542969
8200,2.7,0.9,0,0,7.2,5.952027320861816
8300,8.4,1.0,0,0,2.6,86.80582427978516
8400,-3.2,0.9,6,0,7.7,58.01048278808594
8500,-8.5,0.8,5,0,12.8,76.52587127685547
8600,-3.6,0.8,0,0,12.4,22.295772552490234
8700,2.3,0.9,0,0,7.6,68.1551513671875
8800,-7.5,0.8,0,4,12.3,0.07101690769195557
8900,-7.4,0.8,5,0,11.7,1.7389655113220215
9000,6.8,1.0,1,0,3.3,0.17000965774059296
9100,-15.3,0.6,0,0,21.9,5.190038204193115
9200,-59.6,0.6,0,45,21.2,3.035898447036743
9300,8.2,1.0,0,0,2.8,0.0
9400,-9.2,0.7,0,0,16.9,0.10965783149003983
9500,5.1,1.0,0,2,3.9,6.973849773406982
9600,8.0,1.0,0,0,3.0,3.63183331489563
9700,2.2,0.9,0,0,7.7,254.5846710205078
9800,-4.3,0.8,0,1,12.1,38.57785415649414
9900,-2.7,0.8,0,0,11.5,0.9829850792884827
10000,-2.9,0.8,0,0,11.7,16.391202926635742
10100,-15.7,0.8,0,12,12.5,122.27652740478516
10200,8.1,1.0,0,0,2.9,144.79791259765625
10300,8.8,1.0,0,0,2.2,1.2242212295532227
10400,-37.8,0.9,2,38,7.9,0.7120749950408936
10500,-15.8,0.6,1,0,21.5,13.575608253479004
10600,6.7,1.0,1,0,3.4,53.05757141113281
10700,6.6,1.0,0,1,3.4,9.349133491516113
10800,-20.1,0.8,0,16,12.9,97.9481430053711
10900,-11.0,0.8,7,1,12.5,0.24400392174720764
11000,-36.2,0.9,14,24,9.5,9.774897575378418
11100,-44.3,0.9,0,47,7.2,0.2143048197031021
11200,7.7,1.0,0,0,3.3,4.878048896789551
11300,-13.1,0.8,10,0,12.9,0.43501338362693787
11400,8.0,1.0,0,0,3.0,61.27518844604492
11500,2.0,0.9,0,0,7.9,0.0
11600,1.6,0.9,0,0,8.3,2.0707316398620605
11700,-15.4,0.6,0,0,22.0,0.0
11800,1.5,0.9,1,0,7.5,28.011486053466797
11900,8.4,1.0,0,0,2.6,0.285468190908432
12000,-0.7,0.9,1,1,8.7,6.278451919555664
12100,-19.1,0.8,0,16,11.9,27.946901321411133
12200,8.2,1.0,0,0,2.8,8.52202320098877
12300,6.7,1.0,1,0,3.4,95.29908752441406
12400,-19.1,0.7,8,2,17.6,19.78655242919922
12500,-11.7,0.7,1,0,18.5,3.2969000339508057
12600,7.9,1.0,0,0,3.1,570.6939697265625
12700,-3.6,0.9,6,0,8.1,36.76151657104492
12800,-3.5,0.9,7,0,7.1,12.20617961883545
12900,-101.8,0.7,51,47,16.6,7.512773513793945
13000,-3.7,0.8,1,0,11.6,8.095551490783691
13100,-0.2,0.9,1,0,9.2,7.452303886413574
13200,8.5,1.0,0,0,2.5,178.0604248046875
13300,-29.8,0.7,5,16,17.0,41.37760543823242
13400,2.1,0.9,0,0,7.8,9.289427757263184
13500,-8.7,0.9,12,0,7.8,23.610475540161133
13600,-6.8,0.9,9,0,8.6,55.50424575805664
13700,-12.6,0.8,3,5,13.7,0.0
13800,8.5,1.0,0,0,2.5,18.828201293945312
13900,-65.6,0.8,0,62,12.4,8.18964958190918
14000,1.3,0.9,0,0,8.6,6.380070209503174
14100,-4.0,0.8,0,0,12.8,0.9246620535850525
14200,-48.2,0.8,1,44,12.1,0.0
14300,1.6,0.9,0,0,8.3,12.128344535827637
14400,8.2,1.0,0,0,2.8,117.75423431396484
14500,7.5,1.0,0,0,3.5,1.544725775718689
14600,7.5,1.0,0,0,3.5,4.985653400421143
14700,-6.2,0.9,9,0,8.0,1.0256792306900024
14800,-3.2,0.8,0,0,12.0,99.72137451171875
14900,-2.7,0.9,4,0,9.0,50.75635528564453
15000,-74.6,0.7,20,47,17.3,10.949594497680664
15100,8.0,1.0,0,0,3.0,91.17793273925781
15200,-12.3,0.8,9,0,13.0,0.5713316798210144
15300,-12.2,0.8,9,0,12.9,4.532524108886719
15400,8.1,1.0,0,0,2.9,49.24897384643555
15500,-42.7,0.9,16,31,7.2,31.026065826416016
15600,-11.2,0.7,1,0,18.0,1.565665364265442
15700,2.2,0.9,0,0,7.7,0.029083842411637306
15800,-3.2,0.8,0,0,12.0,1.8746675252914429
15900,-3.2,0.8,0,0,12.0,1.4423474073410034
16000,7.9,1.0,0,0,3.1,0.38383951783180237
16100,7.4,1.0,0,1,2.6,19.61705780029297
16200,-9.2,0.7,0,0,16.9,0.11806278675794601
16300,1.9,0.9,0,0,8.0,21.186065673828125
16400,-24.0,0.8,18,4,12.6,6.5934624671936035
16500,8.3,1.0,0,0,2.7,0.7252057790756226
16600,1.4,0.9,1,0,7.6,0.8236328959465027
16700,6.8,1.0,0,1,3.2,1.2928332090377808
16800,8.4,1.0,0,0,2.6,1.7284038066864014
16900,8.4,1.0,0,0,2.6,3.942505121231079
17000,-6.2,0.9,10,0,7.1,8.23660659790039
17100,6.9,1.0,0,1,3.1,2.044640302658081
17200,2.0,0.9,0,0,7.9,24.113109588623047
17300,-41.4,0.9,0,43,8.3,5.265130043029785
17400,8.6,1.0,0,0,2.4,4.3084397315979
17500,-40.2,0.9,0,42,8.1,5.353277206420898
17600,9.0,1.0,0,0,2.0,17.676443099975586
17700,6.6,1.0,0,1,3.4,0.0
17800,7.8,1.0,0,0,3.2,1.6780738830566406
17900,-3.6,0.8,0,0,12.4,14.878772735595703
18000,1.8,0.9,0,0,8.1,0.0
18100,2.0,0.9,0,0,7.9,1.801922082901001
18200,-3.3,0.8,0,0,12.1,0.003612764645367861
18300,-92.3,0.8,0,88,13.1,0.0
18400,-4.3,0.8,0,1,12.1,3.1214168071746826
18500,-3.9,0.8,0,0,12.7,1.9354230165481567
18600,2.7,0.9,0,0,7.2,6.770251274108887
18700,-8.6,0.7,0,0,16.3,5.632175445556641
18800,4.9,1.0,0,0,6.1,9.190062522888184
18900,-9.4,0.7,0,0,17.1,1.0091321468353271
19000,-24.7,0.6,10,0,22.3,111.978759765625
19100,2.4,0.9,0,0,7.5,78.12972259521484
19200,1.9,0.9,0,0,8.0,0.29797908663749695
19300,7.0,1.0,0,0,4.0,0.13728196918964386
19400,7.0,1.0,0,0,4.0,48.68860626220703
19500,-3.8,0.8,0,0,12.6,37.79960632324219
19600,7.4,1.0,0,0,3.6,25.174808502197266
19700,-5.5,0.9,8,0,8.2,0.42034876346588135
19800,-8.5,0.9,11,0,8.5,0.0
19900,-3.8,0.8,0,0,12.6,73.7578125
20000,7.4,1.0,0,0,3.6,152.2550811767578
20100,-44.1,0.9,17,30,8.7,16.593765258789062
20200,-11.0,0.7,0,1,17.7,0.14222705364227295
20300,-5.3,0.8,0,1,13.1,7.290866851806641
20400,-23.1,0.7,0,14,16.8,78.03533935546875
20500,6.8,1.0,0,0,4.2,2.8349313735961914
20600,9.0,1.0,0,0,2.0,11.004877090454102
20700,7.5,1.0,0,0,3.5,106.84224700927734
20800,7.1,1.0,0,0,3.9,3.79443621635437
20900,-6.4,0.9,10,0,7.3,1.1386464834213257
21000,7.3,1.0,0,0,3.7,32.40747833251953
21100,-15.3,0.7,1,5,17.1,0.010877201333642006
21200,-3.7,0.8,0,0,12.5,3.9040024280548096
21300,2.0,0.9,0,0,7.9,0.012024302035570145
21400,-62.3,0.6,0,47,21.9,0.6446672677993774
21500,2.3,0.9,0,0,7.6,0.12172045558691025
21600,-3.4,0.8,0,0,12.2,25.55729866027832
21700,6.6,1.0,0,0,4.4,0.03585834801197052
21800,8.0,1.0,0,0,3.0,52.23263931274414
21900,5.0,1.0,1,0,5.1,1.4344590902328491
22000,0.7,0.9,0,0,9.2,1.818726897239685
22100,1.4,0.9,0,0,8.5,1.1449105739593506
22200,-4.4,0.8,0,0,13.2,20.809688568115234
22300,0.3,0.9,1,0,8.7,0.2514617145061493
22400,-1.5,0.9,2,0,9.6,4.42134428024292
22500,2.7,0.9,0,0,7.2,1.9556407928466797
22600,-3.5,0.8,0,0,12.3,36.826629638671875
22700,3.1,0.9,0,0,6.8,0.0135271567851305
22800,8.4,1.0,0,0,2.6,3.257385015487671
22900,6.6,1.0,0,0,4.4,13.930839538574219
23000,-19.4,0.7,11,0,17.2,0.597337007522583
23100,7.4,1.0,0,0,3.6,0.002905081957578659
23200,-40.4,0.9,1,41,8.4,25.975954055786133
23300,1.9,0.9,0,0,8.0,2.251751184463501
23400,-3.6,0.9,7,0,7.2,35.829044342041016
23500,-1.7,0.9,5,0,7.1,2.7243402004241943
23600,-4.6,0.8,0,1,12.4,23.321861267089844
23700,2.2,0.9,0,0,7.7,12.55903434753418
23800,2.2,0.9,0,0,7.7,178.6845245361328
23900,-3.5,0.8,0,0,12.3,117.16278076171875
24000,1.5,0.9,1,0,7.5,0.0005172976525500417
24100,-42.1,0.9,0,44,8.0,4.092404365539551
24200,7.9,1.0,0,0,3.1,55.05843734741211
24300,2.2,0.9,0,0,7.7,1.1579673290252686
24400,2.7,1.0,2,2,4.5,123.47222900390625
24500,-3.7,0.9,3,1,9.9,14.56568431854248
24600,1.6,0.9,0,0,8.3,7.2600321769714355
24700,-7.4,0.9,10,0,8.3,0.06299306452274323
24800,-15.8,0.9,1,16,8.8,6.0524516105651855
24900,-2.8,0.9,6,0,7.3,0.5569490790367126
25000,8.4,1.0,0,0,2.6,0.019710667431354523
25100,8.0,1.0,0,0,3.0,2.5146594047546387
25200,7.6,1.0,0,0,3.4,15.043368339538574
25300,4.8,1.0,0,2,4.2,5.899517059326172
25400,1.0,0.9,1,0,8.0,61.293949127197266
25500,-4.2,0.9,7,0,7.8,19.84466552734375
25600,-22.9,0.7,14,0,18.0,145.6322021484375
25700,-4.2,0.9,7,0,7.8,0.02528810128569603
25800,-17.4,0.7,6,1,18.7,1.521267056465149
25900,-4.1,0.9,7,0,7.7,91.73006439208984
26000,1.9,0.9,0,0,8.0,0.08667653799057007
26100,-5.9,0.8,2,0,12.9,0.025162383913993835
26200,7.8,1.0,0,0,3.2,1.9801362752914429
26300,6.6,1.0,1,0,3.5,28.03642463684082
26400,2.8,0.9,0,0,7.1,13.809348106384277
26500,2.5,0.9,0,0,7.4,20.14168930053711
26600,3.0,0.9,0,0,6.9,131.43638610839844
26700,-6.8,0.9,10,0,7.7,80.70603942871094
26800,-19.4,0.8,0,16,12.2,0.0
26900,-103.9,0.7,0,94,17.6,139.9244842529297
27000,-50.2,0.8,0,47,12.0,16.628812789916992
27100,7.1,1.0,0,0,3.9,2.096522569656372
27200,7.5,1.0,1,0,2.6,0.0
27300,-47.6,0.8,16,30,12.0,15.901093482971191
27400,-3.7,0.8,0,0,12.5,6.275933265686035
27500,2.0,0.9,0,0,7.9,2.9380600452423096
27600,1.5,0.9,0,0,8.4,1.565111756324768
27700,1.5,0.9,0,0,8.4,8.916182518005371
27800,8.1,1.0,0,0,2.9,0.0
27900,-8.9,0.7,0,0,16.6,28.814830780029297
28000,0.8,0.9,1,0,8.2,49.29792785644531
28100,8.8,1.0,0,0,2.2,5.2913289070129395
28200,-3.3,0.8,0,0,12.1,10.723747253417969
28300,-5.4,0.8,0,1,13.2,2.2858991622924805
28400,-6.0,0.8,1,0,13.9,44.1029167175293
28500,2.1,0.9,0,0,7.8,12.186286926269531
28600,7.3,1.0,0,0,3.7,0.017304355278611183
28700,8.2,1.0,0,0,2.8,0.0
28800,2.0,0.9,1,0,7.0,1.9611719846725464
28900,-9.2,0.7,0,0,16.9,112.91717529296875
29000,0.9,0.9,0,0,9.0,11.106518745422363
29100,2.0,0.9,0,0,7.9,52.29020309448242
29200,-6.0,0.8,1,0,13.9,12.190605163574219
29300,2.4,0.9,0,0,7.5,10.471495628356934
29400,-0.6,0.9,2,0,8.7,99.94263458251953
29500,2.0,0.9,0,0,7.9,12.343463897705078
29600,-8.1,0.8,5,0,12.4,2.167299509048462
29700,8.5,1.0,0,0,2.5,1.417760968208313
29800,7.9,1.0,0,0,3.1,0.30116990208625793
29900,6.8,1.0,0,0,4.2,0.5959241390228271
30000,8.6,1.0,0,0,2.4,34.15830993652344
30100,1.9,0.9,0,0,8.0,0.0
30200,-3.9,0.8,1,0,11.8,11.435194969177246
30300,1.9,0.9,0,0,8.0,2.763089469226543e-06
30400,2.8,0.9,0,0,7.1,6.121978282928467
30500,0.2,0.9,2,0,7.9,89.57718658447266
30600,-25.0,0.8,7,15,12.5,0.0
30700,-9.3,0.8,7,0,11.8,12.749746322631836
30800,-4.4,0.8,0,0,13.2,0.0
30900,-15.3,0.6,0,0,21.9,0.2601284384727478
31000,8.5,1.0,0,0,2.5,2.2010819911956787
31100,-53.1,0.7,49,0,16.7,235.39657592773438
31200,-9.5,0.7,0,0,17.2,0.3889007568359375
31300,1.0,0.9,0,0,8.9,48.17652130126953
31400,-4.2,0.8,0,0,13.0,5.271035671234131
31500,8.1,1.0,0,0,2.9,1.9352093935012817
31600,0.9,0.9,0,0,9.0,4.610568523406982
31700,1.9,0.9,0,0,8.0,6.388517379760742
31800,-3.2,0.8,0,0,12.0,0.04019748046994209
31900,-23.5,0.8,7,14,12.0,0.0
32000,1.3,0.9,0,0,8.6,37.012760162353516
32100,6.5,1.0,1,0,3.6,16.63115882873535
32200,-45.1,0.9,0,47,8.0,88.60342407226562
32300,2.0,0.9,0,0,7.9,28.1866455078125
32400,2.0,0.9,0,0,7.9,1.6428639888763428
32500,-47.5,0.8,9,36,12.2,48.86137008666992
32600,-9.2,0.7,0,0,16.9,0.4717034101486206
32700,-14.6,0.6,0,0,21.2,60.54833984375
32800,7.2,1.0,0,0,3.8,1.104200839996338
32900,7.1,1.0,0,0,3.9,0.019779179245233536
33000,1.8,0.9,0,0,8.1,0.08196151256561279
33100,6.1,1.0,2,0,3.1,12.089252471923828
33200,2.0,0.9,0,0,7.9,0.41730478405952454
33300,8.2,1.0,0,0,2.8,33.49652862548828
33400,2.1,0.9,0,0,7.8,0.0
33500,7.7,1.0,0,0,3.3,0.6143217086791992
33600,-10.6,0.7,0,0,18.3,20.840070724487305
33700,2.0,0.9,0,0,7.9,2.6869757175445557
33800,2.5,0.9,0,0,7.4,6.1866559982299805
0,-4.9,0.8,1,0,12.8,0.0
33900,7.4,1.0,0,0,3.6,3.042332649230957
34000,0.0,0.9,2,0,8.1,0.6391609907150269
34100,-0.9,0.9,4,0,7.2,0.0
34200,-5.6,0.9,9,0,7.4,154.80990600585938
34300,2.5,0.9,0,0,7.4,42.09135055541992
34400,-33.0,0.7,0,24,16.7,6.651961803436279
34500,-10.1,0.7,1,0,16.9,24.357872009277344
34600,-9.5,0.7,0,0,17.2,4.975633144378662
34700,1.6,0.9,0,0,8.3,7.396217346191406
34800,-10.0,0.7,0,0,17.7,0.0
34900,7.8,1.0,0,0,3.2,2.9688525199890137
35000,8.2,1.0,0,0,2.8,38.540611267089844
35100,8.0,1.0,0,0,3.0,3.3345816135406494
