run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2400,2900,15000,17100,0.915,0.882,5,6,8.658
2,1500,2500,16100,24100,-0.283,0.873,77,4,9.137
