run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2100,2600,26200,41200,-1.048,0.852,5,0,10.375
2,1900,2700,26000,33300,-2.539,0.82,0,0,11.559
