run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1900,2400,15500,16100,0.798,0.894,0,47,8.378
2,2500,3600,16700,17200,1.63,0.896,0,5,8.156
