run,check_1,check_2,check_3,check_4,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1900,2700,30300,37600,1.39,0.889,0,0,8.389
2,2400,3000,14600,16600,0.652,0.883,21,6,8.788
