run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1400,2500,22300,-0.61,0.862,0,51,9.582
2,2000,2500,32800,1.899,0.902,0,1,8.013
