run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1400,2200,17500,1.506,0.909,9,49,7.726
2,2200,2700,19800,0.852,0.884,2,0,8.854
