run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1700,2600,24000,3.491,0.935,11,5,6.645
2,1300,1900,27200,-2.715,0.896,0,424,8.331
