run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,2200,2800,18500,1.356,0.888,0,0,8.412
2,1700,2300,15000,-4.133,0.813,145,0,11.771
