run,check_1,check_2,check_3,avg_return,finished_percentage,crashes_counter,stuck_counter,avg_steps
1,1900,2700,14600,-1.102,0.853,0,17,10.315
2,1300,2600,11600,-2.739,0.818,4,6,11.641
