Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode
0.0,-91.0,0.07999999999999999,436.7,18.8,46.129999999999995
100.0,2.8,0.09,449.4,0.0,45.65
200.0,7.7,0.13,430.7,0.0,43.730000000000004
300.0,3.7,0.09,450.3,0.0,45.65
400.0,2.7,0.1,443.2,0.0,45.150000000000006
500.0,5.7,0.12000000000000002,434.6,0.0,44.209999999999994
600.0,-54.2,0.24000000000000005,359.4,14.1,38.36
700.0,-15.6,0.16000000000000003,409.0,4.7,42.34
800.0,-151.2,0.24000000000000005,338.7,32.9,38.470000000000006
900.0,-49.6,0.30999999999999994,322.8,14.1,35.010000000000005
1000.0,-114.9,0.35,291.3,28.2,33.190000000000005
1100.0,28.6,0.38,304.0,0.0,31.72
1200.0,-118.6,0.3,316.2,28.2,35.50000000000001
1300.0,-52.7,0.26,350.0,14.1,37.49
1400.0,23.2,0.3,344.9,0.0,35.47
1500.0,-0.6,0.32,329.3,4.7,34.63
1600.0,29.5,0.37,310.5,0.0,32.17
1700.0,-40.7,0.38,290.9,14.1,31.7
1800.0,-20.2,0.36000000000000004,305.2,9.4,32.739999999999995
1900.0,-10.8,0.45000000000000007,260.6,9.4,28.330000000000002
2000.0,-89.8,0.38,280.0,23.5,31.76
2100.0,22.5,0.31999999999999995,333.6,0.0,34.629999999999995
2200.0,-61.7,0.43,260.2,18.8,29.4
2300.0,5.8,0.39999999999999997,289.4,4.7,30.879999999999995
2400.0,-51.0,0.5199999999999999,216.7,18.8,24.970000000000002
2500.0,17.2,0.49000000000000005,246.2,4.5,26.490000000000002
2600.0,-25.7,0.5499999999999999,207.1,14.1,23.690000000000005
2700.0,-12.6,0.45,260.1,9.4,28.46
2800.0,-47.4,0.5900000000000001,181.1,18.8,21.82
2900.0,-101.9,0.52,206.0,28.2,25.230000000000004
3000.0,-102.2,0.51,211.9,28.2,25.74
3100.0,-48.1,0.5900000000000001,181.0,18.8,21.880000000000003
3200.0,-43.5,0.6500000000000001,151.3,18.8,19.11
