Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode
0,7.0,0.1,447,0,45.1
100,8.0,0.1,448,0,45.1
200,10.0,0.2,393,0,40.5
300,-9.0,0.0,491,0,50.0
400,13.0,0.2,394,0,40.3
500,16.0,0.3,340,0,35.7
600,-13.0,0.0,487,0,50.0
700,25.0,0.3,348,0,35.6
800,23.0,0.3,345,0,35.5
900,56.0,0.6,198,0,20.8
1000,34.0,0.4,300,0,31.0
1100,-1.0,0.1,440,0,45.2
1200,-698.0,0.2,247,141,40.3
1300,22.0,0.3,347,0,35.8
1400,16.0,0.2,397,0,40.3
1500,21.0,0.3,345,0,35.7
1600,14.0,0.2,396,0,40.4
1700,6.0,0.1,447,0,45.2
1800,1.0,0.1,444,0,45.4
1900,55.0,0.6,200,0,21.1
2000,25.0,0.3,346,0,35.4
2100,2.0,0.1,442,0,45.1
2200,38.0,0.5,245,0,26.2
2300,13.0,0.2,396,0,40.5
2400,-175.0,0.7,100,47,16.4
2500,22.0,0.3,347,0,35.8
2600,70.0,0.8,98,0,11.6
2700,42.0,0.5,244,0,25.7
2800,44.0,0.6,192,0,21.4
2900,40.0,0.5,245,0,26.0
3000,50.0,0.6,200,0,21.6
3100,-428.0,0.6,98,94,21.6
3200,-442.0,0.4,198,94,30.8
3300,31.0,0.4,298,0,31.1
3400,18.0,0.3,342,0,35.7
3500,55.0,0.7,148,0,17.0
3600,-176.0,0.7,96,47,16.1
3700,60.0,0.7,149,0,16.6
3800,76.0,0.8,98,0,11.0
3900,15.0,0.2,396,0,40.3
4000,71.0,0.8,98,0,11.5
4100,35.0,0.5,244,0,26.4
4200,-164.0,0.8,50,47,11.4
4300,38.0,0.5,244,0,26.1
4400,42.0,0.5,247,0,26.0
4500,43.0,0.5,248,0,26.0
4600,57.0,0.7,146,0,16.6
4700,45.0,0.6,197,0,21.8
4800,-234.0,0.1,394,47,45.1
4900,34.0,0.5,245,0,26.6
5000,27.0,0.4,298,0,31.5
5100,56.0,0.7,150,0,17.1
5200,-214.0,0.3,298,47,35.7
5300,32.0,0.4,298,0,31.0
5400,-452.0,0.3,247,94,35.6
5500,40.0,0.5,246,0,26.1
5600,64.0,0.7,149,0,16.2
5700,22.0,0.3,344,0,35.5
5800,31.0,0.4,298,0,31.1
5900,43.0,0.5,247,0,25.9
6000,55.0,0.7,147,0,16.9
6100,39.0,0.5,243,0,25.9
6200,11.0,0.2,395,0,40.6
6300,46.0,0.5,247,0,25.6
6400,37.0,0.5,250,0,26.8
6500,6.0,0.1,446,0,45.1
6600,35.0,0.4,297,0,30.6
6700,13.0,0.2,394,0,40.3
6800,16.0,0.2,398,0,40.4
6900,22.0,0.3,345,0,35.6
7000,-229.0,0.1,399,47,45.1
7100,10.0,0.2,396,0,40.8
7200,-219.0,0.2,350,47,40.3
7300,-192.0,0.5,198,47,25.7
7400,10.0,0.1,450,0,45.1
7500,7.0,0.1,449,0,45.3
7600,-1.0,0.0,499,0,50.0
7700,-2.0,0.0,498,0,50.0
7800,9.0,0.1,449,0,45.1
7900,-238.0,0.0,450,47,50.0
8000,10.0,0.1,450,0,45.1
8100,-476.0,0.0,400,94,50.0
8200,8.0,0.1,449,0,45.2
8300,-221.0,0.2,349,47,40.4
8400,44.0,0.5,250,0,26.1
8500,26.0,0.3,347,0,35.4
8600,3.0,0.1,445,0,45.3
8700,17.0,0.2,397,0,40.2
8800,18.0,0.2,400,0,40.4
8900,-4.0,0.0,496,0,50.0
9000,56.0,0.6,199,0,20.9
9100,19.0,0.2,399,0,40.2
9200,25.0,0.3,349,0,35.7
9300,8.0,0.1,449,0,45.2
9400,10.0,0.1,450,0,45.1
9500,19.0,0.2,400,0,40.3
9600,-1.0,0.0,499,0,50.0
9700,-2.0,0.0,498,0,50.0
9800,19.0,0.2,400,0,40.3
9900,-1.0,0.0,499,0,50.0
10000,8.0,0.1,448,0,45.1
