Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode
0,-266.0,0.1,444,0,45.1
100,-203.5,0.3,342,0,35.8
200,-128.8,0.5,142,94,25.7
300,-100.4,0.6,98,92,21.2
400,-16.4,0.9,0,47,7.5
500,-100.9,0.6,97,94,21.4
600,-79.8,0.7,141,0,17.0
700,-40.6,0.8,0,94,11.8
800,-70.7,0.7,49,94,16.3
900,-89.9,0.6,0,188,21.3
1000,8.3,1.0,0,0,2.7
1100,8.9,1.0,0,0,2.1
1200,-64.7,0.7,0,139,16.8
1300,-16.3,0.9,0,47,7.4
1400,-89.5,0.6,0,187,21.3
1500,-64.4,0.7,0,139,16.5
1600,8.4,1.0,0,0,2.6
1700,8.1,1.0,0,0,2.9
1800,8.0,1.0,0,0,3.0
1900,8.5,1.0,0,0,2.5
2000,-66.0,0.7,0,141,17.3
2100,-16.3,0.9,0,47,7.4
2200,-40.4,0.8,0,94,11.6
2300,8.5,1.0,0,0,2.5
2400,-40.3,0.8,0,94,11.5
2500,8.3,1.0,0,0,2.7
2600,9.1,1.0,0,0,1.9
2700,8.7,1.0,0,0,2.3
2800,-89.5,0.6,0,188,20.9
2900,8.5,1.0,0,0,2.5
3000,-16.6,0.9,0,47,7.7
3100,8.2,1.0,0,0,2.8
3200,8.7,1.0,0,0,2.3
3300,-40.5,0.8,0,94,11.7
3400,8.8,1.0,0,0,2.2
3500,-89.8,0.6,0,188,21.2
3600,-14.5,0.9,0,45,6.4
3700,-40.7,0.8,0,94,11.9
3800,9.0,1.0,0,0,2.0
3900,-90.1,0.6,0,188,21.5
4000,8.8,1.0,0,0,2.2
4100,8.4,1.0,0,0,2.6
4200,8.5,1.0,0,0,2.5
4300,-15.9,0.9,0,47,7.0
4400,9.0,1.0,0,0,2.0
4500,-17.7,0.9,0,47,8.8
4600,8.8,1.0,0,0,2.2
4700,-39.9,0.8,0,93,11.5
4800,8.5,1.0,0,0,2.5
4900,8.8,1.0,0,0,2.2
5000,-114.6,0.5,0,235,26.1
5100,8.5,1.0,0,0,2.5
5200,9.1,1.0,0,0,1.9
5300,8.8,1.0,0,0,2.2
5400,8.6,1.0,0,0,2.4
5500,8.6,1.0,0,0,2.4
5600,-16.5,0.9,0,47,7.6
5700,9.3,1.0,0,0,1.7
5800,-15.9,0.9,0,47,7.0
5900,8.3,1.0,0,0,2.7
6000,-16.1,0.9,0,47,7.2
6100,-16.1,0.9,0,47,7.2
6200,-40.5,0.8,0,94,11.7
6300,-64.9,0.7,0,141,16.2
6400,-65.2,0.7,0,141,16.5
6500,-16.3,0.9,0,47,7.4
6600,8.3,1.0,0,0,2.7
6700,8.6,1.0,0,0,2.4
6800,8.5,1.0,0,0,2.5
6900,8.7,1.0,0,0,2.3
7000,8.8,1.0,0,0,2.2
7100,8.3,1.0,0,0,2.7
7200,9.0,1.0,0,0,2.0
7300,8.4,1.0,0,0,2.6
7400,8.9,1.0,0,0,2.1
7500,9.1,1.0,0,0,1.9
7600,8.3,1.0,0,0,2.7
7700,9.1,1.0,0,0,1.9
7800,8.2,1.0,0,0,2.8
7900,-16.1,0.9,0,47,7.2
8000,8.7,1.0,0,0,2.3
8100,-40.4,0.8,0,94,11.6
8200,8.7,1.0,0,0,2.3
8300,9.0,1.0,0,0,2.0
8400,-65.4,0.7,0,141,16.7
8500,-15.7,0.9,0,47,6.8
8600,9.2,1.0,0,0,1.8
8700,-15.9,0.9,0,47,7.0
8800,9.2,1.0,0,0,1.8
8900,8.6,1.0,0,0,2.4
9000,8.5,1.0,0,0,2.5
9100,8.6,1.0,0,0,2.4
9200,8.5,1.0,0,0,2.5
9300,-15.9,0.9,0,47,7.0
9400,8.6,1.0,0,0,2.4
9500,-15.5,0.9,0,47,6.6
9600,9.1,1.0,0,0,1.9
9700,8.6,1.0,0,0,2.4
9800,8.3,1.0,0,0,2.7
9900,8.8,1.0,0,0,2.2
10000,8.4,1.0,0,0,2.6
