Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode
0,-1.0,0.0,499,0,50.0
100,15.0,0.2,397,0,40.4
200,-9.0,0.0,491,0,50.0
300,-1.0,0.0,499,0,50.0
400,-6.0,0.0,494,0,50.0
500,-2.0,0.0,498,0,50.0
600,16.0,0.2,397,0,40.3
700,23.0,0.3,345,0,35.5
800,21.0,0.3,348,0,36.0
900,-6.0,0.0,494,0,50.0
1000,52.0,0.6,197,0,21.1
1100,24.0,0.4,293,0,31.3
1200,18.0,0.2,399,0,40.3
1300,-234.0,0.1,394,47,45.1
1400,1.0,0.1,441,0,45.1
1500,10.0,0.2,391,0,40.3
1600,28.0,0.4,294,0,31.0
1700,42.0,0.5,246,0,25.9
1800,-466.0,0.2,292,94,40.4
1900,12.0,0.2,394,0,40.4
2000,44.0,0.5,245,0,25.6
2100,51.0,0.6,198,0,21.3
2200,-661.0,0.6,49,141,21.2
2300,45.0,0.6,198,0,21.9
2400,-204.0,0.4,248,47,30.8
2500,71.0,0.8,98,0,11.5
2600,14.0,0.2,394,0,40.2
2700,66.0,0.8,98,0,12.0
2800,27.0,0.4,290,0,30.7
2900,41.0,0.5,247,0,26.1
3000,35.0,0.4,296,0,30.5
3100,17.0,0.4,289,0,31.6
3200,31.0,0.4,295,0,30.8
3300,-196.0,0.4,247,45,30.7
3400,-179.0,0.7,98,47,16.6
3500,35.0,0.5,243,0,26.3
3600,-200.0,0.4,247,46,30.7
3700,34.0,0.5,241,0,26.2
3800,31.0,0.5,238,0,26.2
3900,71.0,0.8,100,0,11.7
4000,50.0,0.6,194,0,21.0
4100,-187.0,0.6,147,47,21.2
4200,60.0,0.7,148,0,16.5
4300,42.0,0.6,191,0,21.5
4400,-197.0,0.5,198,47,26.2
4500,32.0,0.4,292,0,30.4
4600,41.0,0.5,248,0,26.2
4700,60.0,0.7,145,0,16.2
4800,82.0,0.9,50,0,6.7
4900,-449.0,0.4,193,94,31.0
5000,-197.0,0.5,194,47,25.8
5100,62.0,0.7,148,0,16.3
5200,74.0,0.9,48,0,7.3
5300,60.0,0.7,148,0,16.5
5400,44.0,0.5,250,0,26.1
5500,-446.0,0.4,198,94,31.2
5600,12.0,0.2,394,0,40.4
5700,48.0,0.6,195,0,21.3
5800,29.0,0.4,293,0,30.8
5900,38.0,0.5,245,0,26.2
6000,41.0,0.5,246,0,26.0
6100,55.0,0.6,198,0,20.9
6200,69.0,0.9,50,0,8.0
6300,57.0,0.7,147,0,16.7
6400,53.0,0.6,199,0,21.2
6500,47.0,0.5,249,0,25.7
6600,54.0,0.6,200,0,21.2
6700,55.0,0.7,146,0,16.8
6800,41.0,0.5,247,0,26.1
6900,44.0,0.5,249,0,26.0
7000,58.0,0.7,145,0,16.4
7100,45.0,0.5,248,0,25.8
7200,46.0,0.6,197,0,21.7
7300,40.0,0.5,246,0,26.1
7400,44.0,0.5,249,0,26.0
7500,-1421.0,0.1,149,282,45.3
7600,39.0,0.5,249,0,26.5
7700,36.0,0.4,299,0,30.7
7800,-214.0,0.3,299,47,35.8
7900,26.0,0.3,349,0,35.6
8000,14.0,0.2,396,0,40.4
8100,30.0,0.4,298,0,31.2
8200,73.0,0.8,100,0,11.5
8300,42.0,0.5,250,0,26.3
8400,17.0,0.2,400,0,40.5
8500,37.0,0.4,300,0,30.7
8600,8.0,0.1,448,0,45.1
8700,18.0,0.2,399,0,40.3
8800,4.0,0.1,444,0,45.1
8900,24.0,0.3,346,0,35.5
9000,12.0,0.2,395,0,40.5
9100,24.0,0.3,348,0,35.7
9200,9.0,0.1,449,0,45.1
9300,33.0,0.4,299,0,31.0
9400,62.0,0.7,150,0,16.5
9500,9.0,0.1,449,0,45.1
9600,14.0,0.2,398,0,40.6
9700,-468.0,0.1,348,94,45.1
9800,26.0,0.3,349,0,35.6
9900,-469.0,0.1,347,94,45.1
10000,-4.0,0.0,496,0,50.0
