Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode
0,-193.2,0.3,247,94,35.4
100,-76.4,0.7,97,47,16.8
200,-132.4,0.5,149,94,25.8
300,-64.4,0.7,0,139,16.5
400,-114.0,0.6,199,0,21.1
500,-50.6,0.8,96,0,11.4
600,-65.3,0.7,0,141,16.6
700,-63.9,0.7,0,139,16.0
800,-112.8,0.5,0,230,26.3
900,-16.0,0.9,0,47,7.1
1000,-15.9,0.9,0,47,7.0
1100,-15.5,0.9,0,46,7.0
1200,8.6,1.0,0,0,2.4
1300,8.3,1.0,0,0,2.7
1400,-41.0,0.8,0,94,12.2
1500,8.5,1.0,0,0,2.5
1600,-16.0,0.9,0,47,7.1
1700,-15.6,0.9,0,46,7.1
1800,8.3,1.0,0,0,2.7
1900,8.6,1.0,0,0,2.4
2000,9.0,1.0,0,0,2.0
2100,8.4,1.0,0,0,2.6
2200,-16.7,0.9,0,47,7.8
2300,8.6,1.0,0,0,2.4
2400,8.1,1.0,0,0,2.9
2500,-65.0,0.7,0,141,16.3
2600,-40.4,0.8,0,94,11.6
2700,-64.7,0.7,0,141,16.0
2800,8.7,1.0,0,0,2.3
2900,8.6,1.0,0,0,2.4
3000,7.9,1.0,0,0,3.1
3100,9.0,1.0,0,0,2.0
3200,8.8,1.0,0,0,2.2
3300,-16.0,0.9,0,47,7.1
3400,8.9,1.0,0,0,2.1
3500,8.3,1.0,0,0,2.7
3600,8.8,1.0,0,0,2.2
3700,8.5,1.0,0,0,2.5
3800,-16.3,0.9,0,47,7.4
3900,9.2,1.0,0,0,1.8
4000,9.2,1.0,0,0,1.8
4100,8.8,1.0,0,0,2.2
4200,-65.2,0.7,0,141,16.5
4300,-15.8,0.9,0,47,6.9
4400,-41.2,0.8,0,94,12.4
4500,8.3,1.0,0,0,2.7
4600,-40.7,0.8,0,94,11.9
4700,8.5,1.0,0,0,2.5
4800,9.0,1.0,0,0,2.0
4900,8.3,1.0,0,0,2.7
5000,8.6,1.0,0,0,2.4
5100,8.5,1.0,0,0,2.5
5200,8.6,1.0,0,0,2.4
5300,8.5,1.0,0,0,2.5
5400,-16.0,0.9,0,47,7.1
5500,8.6,1.0,0,0,2.4
5600,8.3,1.0,0,0,2.7
5700,8.9,1.0,0,0,2.1
5800,9.0,1.0,0,0,2.0
5900,8.6,1.0,0,0,2.4
6000,8.8,1.0,0,0,2.2
6100,-15.4,0.9,0,47,6.5
6200,-16.0,0.9,0,47,7.1
6300,-40.8,0.8,0,94,12.0
6400,8.2,1.0,0,0,2.8
6500,7.7,1.0,0,0,3.3
6600,8.0,1.0,0,0,3.0
6700,9.0,1.0,0,0,2.0
6800,-65.7,0.7,0,141,17.0
6900,8.1,1.0,0,0,2.9
7000,-16.0,0.9,0,47,7.1
7100,8.5,1.0,0,0,2.5
7200,-15.7,0.9,0,47,6.8
7300,8.5,1.0,0,0,2.5
7400,8.9,1.0,0,0,2.1
7500,-40.4,0.8,0,94,11.6
7600,8.7,1.0,0,0,2.3
7700,8.9,1.0,0,0,2.1
7800,8.5,1.0,0,0,2.5
7900,8.5,1.0,0,0,2.5
8000,8.8,1.0,0,0,2.2
8100,9.0,1.0,0,0,2.0
8200,8.1,1.0,0,0,2.9
8300,8.6,1.0,0,0,2.4
8400,8.7,1.0,0,0,2.3
8500,8.7,1.0,0,0,2.3
8600,-15.7,0.9,0,47,6.8
8700,-16.3,0.9,0,47,7.4
8800,8.8,1.0,0,0,2.2
8900,8.8,1.0,0,0,2.2
9000,9.0,1.0,0,0,2.0
9100,-15.7,0.9,0,47,6.8
9200,8.9,1.0,0,0,2.1
9300,-40.4,0.8,0,94,11.6
9400,8.8,1.0,0,0,2.2
9500,-40.1,0.8,0,94,11.3
9600,9.3,1.0,0,0,1.7
9700,8.8,1.0,0,0,2.2
9800,-64.8,0.7,0,141,16.1
9900,8.5,1.0,0,0,2.5
10000,-114.5,0.5,0,235,26.0
